;;;;;;;;;;
;LISTADO DE ARTICULOS RESMAP;;;;;; ;;;
;;;;;;;;;;
IT;UBICACIÓN;STOCK;DETALLE;CODIGO;UNIDAD; VALOR C/IVA ;CATEGORIA; NETO ;;
48;141;10;FUSIBLE INTERREPTOR DE SOBRECARGA   20AMP;23-20;UN; $5.000 ;FUSIBLE; $4.202 ;;
49;142;;FUSIBLE MINI PERFIL BAJO  5AMP;46165;UN; $120 ;FUSIBLE; $101 ;;
50;143;;FUSIBLE MINI PERFIL BAJO  7.5AMP;46165;UN; $120 ;FUSIBLE; $101 ;;
51;144;;FUSIBLE MINI PERFIL BAJO  10AMP;46318;UN; $120 ;FUSIBLE; $101 ;;
52;145;;FUSIBLE MINI PERFIL BAJO  15AMP;23-15;UN; $120 ;FUSIBLE; $101 ;;
53;146;;FUSIBLE MINI PERFIL BAJO  20AMP;23-20;UN; $120 ;FUSIBLE; $101 ;;
54;147;;FUSIBLE MINI PERFIL BAJO  25AMP;23-25;UN; $120 ;FUSIBLE; $101 ;;
55;148;;FUSIBLE MINI PERFIL BAJO  30AMP;23-30;UN; $120 ;FUSIBLE; $101 ;;
56;149;;FUSIBLE VIDRIO   5AMP;46165;UN; $120 ;FUSIBLE; $101 ;;
57;15;7;FOCO  6LED PATENTE 12-24V CROMADO ;1514007;UN; $6.800 ;FOCO; $5.714 ;;
58;150;;FUSIBLE VIDRIO   10AMP;46318;UN; $120 ;FUSIBLE; $101 ;;
59;151;;FUSIBLE VIDRIO   15AMP;23-15;UN; $120 ;FUSIBLE; $101 ;;  
60;152;;FUSIBLE VIDRIO    20AMP;23-20;UN; $120 ;FUSIBLE; $101 ;;
61;153;;FUSIBLE TERMICO 24V  40AMP;23-40;UN; $2.300 ;FUSIBLE; $1.933 ;;
62;154;;FUSIBLE ABIERTO C/PERNO 100AMP;23-100;UN; $3.500 ;FUSIBLE; $2.941 ;;
63;155;;FUSIBLE ABIERTO C/PERNO 125AMP;23-125;UN; $3.500 ;FUSIBLE; $2.941 ;;
64;4;;PORTA FUSIBLE MAXI;23-FUSIBLE;UN; $7.000 ;PORTA FUSIBLE; $5.882 ;;
65;4;;PORTA FUSIBLE PALETA DESCUBIERTO  CHINO;23-DESCUBIERTO;UN; $1.200 ;PORTA FUSIBLE; $1.008 ;;
66;4;;PORTA FUSIBLE PALETA C/TAPA OVALADO;23-TAPA;UN; $1.250 ;PORTA FUSIBLE; $1.050 ;;
67;4;;PORTA FUSIBLE PALETA C/TAPA CUADRADO;23-TAPA;UN; $1.000 ;PORTA FUSIBLE; $840 ; ;
69;4;;PORTA FUSIBLE PALETA REFORZADO;23-PALETA;UN; $2.500 ;PORTA FUSIBLE; $2.101 ;;
70;4;;PORTA FUSIBLE VIDRIO;23-FUSIBLE;UN; $1.700 ;PORTA FUSIBLE; $1.429 ;;
71;4;;PORTA FUSIBLE MINI;23-FUSIBLE;UN; $1.500 ;PORTA FUSIBLE; $1.261 ;;
72;4;;PORTA FUSIBLE 2 TORNILLOS FLOSSER;46076;UN; $12.500 ;PORTA FUSIBLE; $10.504 ;;
73;4;;PORTA FUSIBLE 2 TORNILLOS;46076;UN; $15.000 ;PORTA FUSIBLE; $12.605 ;;
74;4;;PORTA FUSIBLE PALETA 4 SALIDAS 1023;23-1023;UN; $3.500 ;PORTA FUSIBLE; $2.941 ;;
75;4;;PORTA FUSIBLE PALETA 6 SALIDAS C/CABLES;46196;UN; $4.500 ;PORTA FUSIBLE; $3.782 ;;
76;4;;PORTA FUSIBLE PALETA 6 SALIDAS;46196;UN; $5.000 ;PORTA FUSIBLE; $4.202 ;;
77;4;;PORTA FUSIBLE CON BACE 6F;46196;UN; $20.000 ;PORTA FUSIBLE; $16.807 ;;
78;4;;PORTA FUSIBLE CON BACE 12F;46379;UN; $30.000 ;PORTA FUSIBLE; $25.210 ;;
79;17;;PISTOLA AIRE 1000CC;23-1000;UN; $12.500 ;ACCESORIO; $10.504 ;;
80;3;3;HERRAMIENTA EXTRACTOR PIN DTM AZUL;23-DTM;UN; $32.000 ;DEUTSCH; $26.891 ;;
81;3;2;HERRAMIENTA EXTRACTOR PIN DT ROJO;23-DT;UN; $32.000 ;DEUTSCH; $26.891 ;;
82;3;2;HERRAMIENTA EXTRACTOR PIN DT CELESTE;23-DT;UN; $33.000 ;DEUTSCH; $27.731 ;;
83;3;0;HERRAMIENTA EXTRACTOR PIN DT AMARILLA;23-DT;UN; $33.000 ;DEUTSCH; $27.731 ;;
84;3;1;HERRAMIENTA EXTRACTOR PIN DT GRIS;23-DT;UN; $33.000 ;DEUTSCH; $27.731 ;;
85;3;1;HERRAMIENTA EXTRACTOR PIN DT VERDE;23-DT;UN; $33.500 ;DEUTSCH; $28.151 ;;
86;3;2;EXTRACTOR SEGURO CONECTOR DEUTSCH;23-CONECTOR;UN; $32.000 ;DEUTSCH; $26.891 ; ;
87;3;42;EXTRACTOR PIN DTM ROJO PLASTICO;23-ROJO;UN; $5.500 ;DEUTSCH; $4.622 ;;
88;3;39;EXTRACTOR PIN DT AZUL PLASTICO;23-AZUL;UN; $5.500 ;DEUTSCH; $4.622 ;; 
89;3;7;EXTRACTOR PIN DT AMARILLO PLASTICO; ;UN; $6.000 ;DEUTSCH; $5.042 ;;
90;3;300;PIN DEUTSCH DTM MACHO;23-DTM;UN; $2.200 ;DEUTSCH; $1.849 ;;
91;18;;FOCO 17LED REDONDO BIVOL NEGRO 23MBB51;23-51;UN; $17.000 ;FOCO; $14.286 ;;
92;3;300;PIN DEUTSCH DTM HEMBRA;23-DTM;UN; $2.200 ;DEUTSCH; $1.849 ;;
93;3;200;PIN DEUTSCH DT MACHO;23-DT;UN; $1.400 ;DEUTSCH; $1.176 ;;
94;3;150;PIN DEUTSCH DT HEMBRA;23-DT;UN; $1.400 ;DEUTSCH; $1.176 ;;
95;3;60;PIN DEUTSCH DT12 HEMBRA;46379;UN; $2.500 ;DEUTSCH; $2.101 ;;
96;3;50;PIN DEUTSCH DT12 MACHO;46379;UN; $2.500 ;DEUTSCH; $2.101 ;;
97;3;5;PIN DEUTSCH DT8 HEMBRA;46257;UN; $3.500 ;DEUTSCH; $2.941 ;;
98;3;5;PIN DEUTSCH DT8 MACHO;46257;UN; $3.500 ;DEUTSCH; $2.941 ;;
99;3;4;PIN DEUTSCH DT4 HEMBRA;46135;UN; $3.800 ;DEUTSCH; $3.193 ;;
100;3;4;PIN DEUTSCH DT4 MACHO;46135;UN; $3.800 ;DEUTSCH; $3.193 ; ;
101;3;;PIN HEMBRA INYECTOR/BOBINA;23-INYECTOR;UN; $1.200 ;DEUTSCH; $1.008 ;;
102;19;;FOCO  9LED FAENERO REDONDO  10-30V CERT 16046;23-16046;UN; $12.500 ;FOCO; $10.504 ;;
103;3;;CONECTOR DTDH04-4P /4S;46135;UN; $21.000 ;DEUTSCH; $17.647 ;;
104;3;;CONECTOR DTDH04-8P /8S;46257;UN; $16.000 ;DEUTSCH; $13.445 ;;
105;3;;CONECTOR DTDH04-12P /12S;46379;UN; $12.000 ;DEUTSCH; $10.084 ;;
106;3;;CONECTOR 9 PINES DT;46288;UN; $100.000 ;DEUTSCH; $84.034 ;;
107;3 B;10;CONECTOR DEUTSCH DT04-2P         NEGRO;46076;UN; $10.000 ;DEUTSCH; $8.403 ;;
108;195;30;CONECTOR DEUTSCH 2P DT    GRIS;46076;UN; $10.000 ;DEUTSCH; $8.403 ;;
109;196;;CONECTOR DEUTSCH 3P DT;46104;UN; $12.000 ;DEUTSCH; $10.084 ;;
110;197;;CONECTOR DEUTSCH 4P DT;46135;UN; $14.500 ;DEUTSCH; $12.185 ;;
111;198;;CONECTOR DEUTSCH 6P DT;46196;UN; $16.000 ;DEUTSCH; $13.445 ;;
112;199;;CONECTOR DEUTSCH 8P DT;46257;UN; $18.000 ;DEUTSCH; $15.126 ; ;
113;4;;CINTA AISLANTE 3M 20MT NEGRA;23-20;UN; $3.000 ;CINTA ; $2.521 ;;
114;20;;FOCO 6LED CUADRADO EMBUTIDO 1200L MBF18;23-18;UN; $12.000 ;FOCO; $10.084 ;;
115;200;;CONECTOR DEUTSCH 8P DT  C/BACE;46257;UN; $17.850 ;DEUTSCH; $15.000 ;;
116;201;;CONECTOR DEUTSCH 12P DT;46379;UN; $25.000 ;DEUTSCH; $21.008 ;;
117;202;;CONECTOR DEUTSCH 12P DT   C/BACE;46379;UN; $29.750 ;DEUTSCH; $25.000 ;;
118;203;;CONECTOR DEUTSCH 2P DT COMPLETO;46076;UN; $15.000 ;DEUTSCH; $12.605 ;;
119;204;;CONECTOR DEUTSCH 3P DT COMPLETO;46104;UN; $20.000 ;DEUTSCH; $16.807 ;;
120;205;;CONECTOR DEUTSCH 4P DT  COMPLETO;46135;UN; $25.000 ;DEUTSCH; $21.008 ;;
121;206;;CONECTOR DEUTSCH 6P DT  COMPLETO;46196;UN; $32.000 ;DEUTSCH; $26.891 ;;
122;207;;CONECTOR DEUTSCH 8P DT  COMPLETO;46257;UN; $38.000 ;DEUTSCH; $31.933 ;;
123;208;;CONECTOR DEUTSCH 12P DT  COMPLETO;46379;UN; $53.000 ;DEUTSCH; $44.538 ;;
